sample	HTO	ADT	VDJ_T	VDJ_B	hash_ident	adt_pca	adt_umap	PCs	resolution	merge_samples	subset_from	batch_correction
240422_2_2-nS_S5d4_A	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	NA	NA
240422_2_2-nS_S5d4_B	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	NA	NA
240422_2_2-nS_S5d4_C	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	NA	NA
240422_Luc7_S5d4_A	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	NA	NA
240422_Luc7_S5d4_B	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	NA	NA
240422_Luc7_S5d4_C	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	NA	NA
Luc7_merge	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	240422_Luc7_S5d4_A,240422_Luc7_S5d4_B,240422_Luc7_S5d4_C	NA	mnn
2_2_merge	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	240422_2_2-nS_S5d4_A,240422_2_2-nS_S5d4_B,240422_2_2-nS_S5d4_C	NA	mnn
Luc7_merge_EP	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	Luc7_merge	mnn
2_2_merge_EP	FALSE	FALSE	FALSE	FALSE	NA	FALSE	FALSE	30	0.3	NA	2_2_merge	mnn
